[1842]:HP(8369),HA(10267),HM(10661),LM(14028),LP(14405),LA(17752)
[1039]:HP(4487),HA(5615),HM(5807),LM(7148),LA(7967),LP(8170)
[119]:HP(439),HA(552),HM(563),LP(617),LM(630),LA(703)
[459]:HP(1856),HA(2345),HM(2434),LM(3050),LP(3345),LA(3986)
[1212]:HP(5336),HA(6570),HM(6806),LP(8461),LM(9422),LA(10727)
[559]:HP(2346),HA(2938),HM(3042),LM(3608),LP(4044),LA(4350)
[1999]:HP(9158),HA(11145),HM(11629),LM(14128),LP(15436),LA(19134)
[1554]:HP(6928),HA(8564),HM(8887),LM(10310),LP(10954),LA(13425)
[592]:HP(2467),HA(3086),HM(3166),LM(3552),LP(4059),LA(4385)
[1183]:HP(5207),HA(6421),HM(6649),LP(7997),LM(8281),LA(8632)
[1000]:HP(4302),HA(5350),HM(5573),LP(7050),LM(7114),LA(8535)
[1527]:HP(6884),HA(8485),HM(8758),LM(10146),LP(12098),LA(13382)
[586]:HP(2472),HA(3027),HM(3097),LM(3573),LP(3634),LA(3971)
[1486]:HP(6682),HA(8080),HM(8433),LM(11197),LP(11800),LA(13003)
[448]:HP(1842),HA(2278),HM(2353),LP(2595),LM(2999),LA(3243)
[976]:HP(4235),HA(5214),HM(5425),LM(6159),LP(7536),LA(8198)
[990]:HP(4307),HA(5299),HM(5495),LM(7013),LA(7578),LP(7653)
[913]:HP(3942),HA(4913),HM(5060),LM(5930),LP(7298),LA(7520)
[1886]:HP(8597),HA(10544),HM(10953),LM(13632),LP(14164),LA(17372)
[369]:HP(1507),HA(1857),HM(1939),LP(2183),LM(2200),LA(2907)
[1560]:HP(7018),HA(8522),HM(8885),LM(11410),LP(13747),LA(15508)
[347]:HP(1419),HA(1743),HM(1803),LP(2133),LM(2295),LA(2978)
[123]:HP(454),HA(578),HM(596),LP(611),LM(675),LA(781)
[294]:HP(1172),HA(1460),HM(1532),LM(1719),LA(1865),LP(2065)
[1246]:HP(5452),HA(6786),HM(7036),LM(8600),LP(8757),LA(9647)
[147]:HP(549),HA(692),HM(724),LM(776),LP(817),LA(927)
[1664]:HP(7535),HA(9167),HM(9514),LP(12334),LM(12732),LA(14486)
[289]:HP(1114),HA(1436),HM(1456),LP(1681),LM(1852),LA(1935)
[1639]:HP(7425),HA(9141),HM(9444),LM(11494),LP(12824),LA(13915)
[476]:HP(1931),HA(2410),HM(2512),LP(3292),LM(3437),LA(3967)
[1676]:HP(7557),HA(9308),HM(9567),LM(12925),LP(15755),LA(15832)
[1729]:HP(3458),HA(6319),HM(6912),LM(12043),LA(13053),LP(1499041)
[433]:HP(1760),HA(2193),HM(2279),LA(2913),LP(2937),LM(3034)
[1805]:HP(3611),HA(6639),HM(7215),LM(12373),LA(17601),LP(1633523)
[1694]:HP(7698),HA(9390),HM(9706),LP(13394),LM(13568),LA(15162)
[800]:HP(3474),HA(4292),HM(4379),LP(5128),LM(5399),LA(5870)
[1093]:HP(2185),HA(3989),HM(4369),LM(6917),LA(8700),LP(600055)
[1499]:HP(6682),HA(8267),HM(8495),LM(11600),LP(12891),LA(13110)
[617]:HP(1233),HA(2262),HM(2465),LM(3853),LA(4693),LP(191885)
[84]:HP(300),HA(385),HM(389),LM(399),LP(416),LA(465)
[419]:HP(1726),HA(2124),HM(2208),LM(2495),LP(2886),LA(3530)
[1896]:HP(8606),HA(10527),HM(10987),LM(14277),LA(14721),LP(15582)
[1458]:HP(6479),HA(8042),HM(8255),LM(10626),LP(11008),LA(12514)
[236]:HP(913),HA(1151),HM(1186),LM(1364),LP(1384),LA(1666)
[1216]:HP(2432),HA(4466),HM(4861),LM(8138),LA(10888),LP(742366)
[1138]:HP(2275),HA(4193),HM(4549),LM(7373),LA(8310),LP(650365)
[426]:HP(1715),HA(2160),HM(2226),LP(2514),LM(2564),LA(3614)
[1517]:HP(6714),HA(8396),HM(8572),LM(10836),LP(11508),LA(12250)
[1799]:HP(8186),HA(10051),HM(10410),LM(12820),LP(15784),LA(16104)
[929]:HP(4061),HA(4994),HM(5138),LP(6042),LM(6815),LA(7523)
[1662]:HP(7499),HA(9195),HM(9581),LM(12118),LP(12324),LA(13806)
[892]:HP(3776),HA(4758),HM(4911),LM(5851),LA(6614),LP(7020)
[1431]:HP(6385),HA(7884),HM(8119),LP(10912),LM(11034),LA(12930)
[751]:HP(3179),HA(3986),HM(4075),LM(4984),LP(5461),LA(6549)
[1838]:HP(3675),HA(6779),HM(7349),LM(12539),LA(14022),LP(1693715)
